,file_name,category,cat_id,bbox
0,000012.jpg,car,6,"[96, 155, 269, 350]"
1,000017.jpg,horse,12,"[77, 89, 335, 402]"
2,000023.jpg,person,14,"[1, 2, 461, 242]"
3,000026.jpg,car,6,"[124, 89, 211, 336]"
4,000032.jpg,aeroplane,0,"[77, 103, 182, 374]"
5,000033.jpg,aeroplane,0,"[106, 8, 262, 498]"
6,000034.jpg,train,18,"[166, 115, 399, 359]"
7,000035.jpg,person,14,"[97, 217, 317, 464]"
8,000036.jpg,dog,11,"[78, 26, 343, 318]"
9,000042.jpg,train,18,"[31, 262, 294, 499]"
10,000044.jpg,chair,8,"[0, 0, 329, 369]"
11,000047.jpg,car,6,"[0, 14, 311, 458]"
12,000048.jpg,person,14,"[0, 1, 499, 301]"
13,000061.jpg,boat,3,"[10, 273, 278, 436]"
14,000064.jpg,bird,2,"[22, 0, 499, 450]"
15,000066.jpg,person,14,"[181, 241, 258, 273]"
16,000073.jpg,pottedplant,15,"[142, 120, 459, 374]"
17,000077.jpg,cat,7,"[0, 1, 332, 305]"
18,000078.jpg,dog,11,"[74, 14, 411, 474]"
19,000083.jpg,car,6,"[32, 108, 308, 446]"
20,000089.jpg,chair,8,"[50, 21, 290, 316]"
21,000091.jpg,car,6,"[240, 124, 283, 194]"
22,000104.jpg,person,14,"[6, 1, 332, 282]"
23,000112.jpg,dog,11,"[173, 69, 327, 276]"
24,000122.jpg,cat,7,"[19, 35, 473, 429]"
25,000129.jpg,person,14,"[0, 73, 461, 271]"
26,000133.jpg,person,14,"[17, 72, 499, 405]"
27,000134.jpg,car,6,"[114, 0, 329, 486]"
28,000138.jpg,person,14,"[53, 223, 331, 439]"
29,000140.jpg,sofa,17,"[112, 1, 400, 499]"
30,000141.jpg,bird,2,"[52, 24, 398, 417]"
31,000147.jpg,chair,8,"[104, 32, 145, 64]"
32,000153.jpg,car,6,"[146, 236, 190, 357]"
33,000154.jpg,boat,3,"[75, 58, 265, 366]"
34,000159.jpg,car,6,"[15, 0, 332, 497]"
35,000161.jpg,car,6,"[33, 103, 389, 445]"
36,000162.jpg,person,14,"[142, 195, 368, 308]"
37,000163.jpg,motorbike,13,"[107, 25, 395, 455]"
38,000164.jpg,motorbike,13,"[153, 113, 347, 368]"
39,000171.jpg,person,14,"[20, 93, 490, 374]"
40,000173.jpg,horse,12,"[63, 108, 463, 287]"
41,000174.jpg,person,14,"[4, 142, 332, 425]"
42,000187.jpg,tvmonitor,19,"[94, 0, 335, 239]"
43,000189.jpg,bird,2,"[38, 64, 345, 458]"
44,000192.jpg,person,14,"[63, 115, 374, 355]"
45,000193.jpg,person,14,"[3, 79, 374, 499]"
46,000194.jpg,horse,12,"[35, 85, 223, 238]"
47,000198.jpg,train,18,"[133, 159, 238, 285]"
48,000200.jpg,person,14,"[18, 226, 248, 399]"
49,000207.jpg,bus,5,"[204, 0, 319, 112]"
50,000209.jpg,cat,7,"[75, 13, 374, 399]"
51,000219.jpg,motorbike,13,"[332, 119, 463, 309]"
52,000220.jpg,car,6,"[126, 39, 291, 463]"
53,000222.jpg,person,14,"[235, 113, 374, 226]"
54,000225.jpg,sheep,16,"[95, 124, 262, 354]"
55,000228.jpg,aeroplane,0,"[81, 91, 227, 313]"
56,000235.jpg,diningtable,10,"[265, 39, 374, 276]"
57,000242.jpg,cat,7,"[2, 2, 286, 498]"
58,000250.jpg,bottle,4,"[123, 96, 296, 149]"
59,000256.jpg,aeroplane,0,"[95, 7, 231, 490]"
60,000259.jpg,person,14,"[0, 170, 360, 498]"
61,000262.jpg,car,6,"[95, 342, 195, 499]"
62,000263.jpg,car,6,"[223, 18, 322, 354]"
63,000276.jpg,person,14,"[162, 128, 318, 229]"
64,000278.jpg,person,14,"[88, 110, 374, 416]"
